Is Duplicate Row?,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Location,Above Ground Sighter Measurement,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Lat/Long,Lat/Long - Split 1,Lat/Long - Split 2
Unique,-73.980284240,40.767825738,1B-PM-1019-03,01B,PM,10192018,3,Juvenile,Gray,White,Gray+White,Above Ground,25,False,True,False,False,False,False,False,False,False,False,False,False,False,POINT (-73.98028424040162 40.7678257384977),POINT,(-73.98028424040162 40.7678257384977)
Unique,-73.971614706,40.781391104,18A-PM-1018-01,18A,PM,10182018,1,Adult,Gray,,Gray+,Above Ground,30,False,False,True,False,False,False,False,False,False,False,False,False,False,POINT (-73.9716147061553 40.7813911036179),POINT,(-73.9716147061553 40.7813911036179)
Unique,-73.971432998,40.774187339,11E-PM-1012-04,11E,PM,10122018,4,Adult,Gray,White,Gray+White,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9714329979305 40.7741873388945),POINT,(-73.9714329979305 40.7741873388945)
Unique,-73.963842266,40.788734087,28C-PM-1006-02,28C,PM,10062018,2,Adult,Gray,,Gray+,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,False,True,POINT (-73.963842266151 40.7887340867773),POINT,(-73.963842266151 40.7887340867773)
Unique,-73.962516495,40.788476899,28D-PM-1019-02,28D,PM,10192018,2,Adult,Black,,Black+,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,False,True,POINT (-73.962516494651 40.7884768989902),POINT,(-73.962516494651 40.7884768989902)
Unique,-73.980009483,40.767778259,1B-AM-1012-04,01B,AM,10122018,4,,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,True,False,False,True,False,False,False,False,False,False,False,True,False,POINT (-73.9800094828465 40.7677782585639),POINT,(-73.9800094828465 40.7677782585639)
Unique,-73.976337351,40.774116893,9B-PM-1013-09,09B,PM,10132018,9,Juvenile,Gray,,Gray+,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,True,False,False,True,POINT (-73.9763373510536 40.7741168933928),POINT,(-73.9763373510536 40.7741168933928)
Unique,-73.969384100,40.770414866,8I-PM-1013-06,08I,PM,10132018,6,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9693841004072 40.7704148658294),POINT,(-73.9693841004072 40.7704148658294)
Unique,-73.965387328,40.780469988,20F-PM-1007-11,20F,PM,10072018,11,Adult,Gray,White,Gray+White,Above Ground,10,False,False,True,False,False,False,False,False,False,False,False,False,False,POINT (-73.9653873284496 40.7804699882574),POINT,(-73.9653873284496 40.7804699882574)
Unique,-73.959341097,40.792313401,33D-AM-1017-08,33D,AM,10172018,8,Adult,Black,,Black+,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9593410965431 40.7923134010383),POINT,(-73.9593410965431 40.7923134010383)
